run,tsr_ref,cp,mean_torque,mean_rpm
0.0,0.9999998968584642,-0.001110339809077653,-0.2588728038468755,17.766131349924848
1.0,1.2500007063711671,-0.0017256426345121437,-0.32186301531480366,22.20767902742312
2.0,1.4999801105769364,-0.002526262128511031,-0.39266607652019103,26.6488464153876
3.0,1.7500046237142088,-0.003576006546467804,-0.4764195569792597,31.090815214636866
4.0,1.9999378925886286,-0.004866528512281011,-0.567326715557831,35.53116295616018
5.0,2.249952985262897,-0.00654876645970409,-0.6786041819183599,39.97296439020909
6.0,2.4999270183151676,-0.008437399349832883,-0.7868858699312288,44.414036353545164
7.0,2.5999469037816056,-0.009208251290853316,-0.8257396818074774,46.19100295962541
8.0,2.699880464449746,-0.010169761310581456,-0.8782065974231276,47.966435907842154
9.0,2.7998234260177624,-0.011117844677736232,-0.9258069386632929,49.74203587369813
10.0,2.8999057310315353,-0.012079755724208953,-0.9711912115316786,51.520111433769515
11.0,2.9998691873160124,-0.013202881962745378,-1.0261170295271964,53.296075511487665
12.0,3.099919250389825,-0.01435742469491729,-1.079833105423528,55.07357825695965
13.0,3.1998699392499974,-0.015487221360652396,-1.128422276797502,56.8493155069172
14.0,3.2998527228434402,-0.01672737536448768,-1.1818536952094516,58.62562295618051
15.0,3.399862315571835,-0.018114231294816558,-1.242192923847645,60.40240670010585
16.0,3.4997249973183924,-0.019493725405033788,-1.2986478370323336,62.17658040396193
17.0,3.5997312915874295,-0.020975127081703116,-1.3585167246639738,63.95330554701905
18.0,3.6997910505562746,-0.022559909610060477,-1.421643257403651,65.73098055105349
19.0,3.7997482642863782,-0.024064645972874586,-1.4765736824182902,67.50683372271925
20.0,3.899717083339021,-0.02569100942689854,-1.5359551675500054,69.28289307609087
21.0,3.9997482750457762,-0.027484215369358304,-1.6020687722767943,71.06006055034237
22.0,4.249614310803989,-0.032140508337697535,-1.763330410164025,75.49921381936888
23.0,4.499624779652615,-0.03725523683957121,-1.9303741834655277,79.94093310591563
24.0,4.749604873731819,-0.04265186729905094,-2.093683544445659,84.38211275026343
25.0,4.99929031524868,-0.048873211041538016,-2.279255377530711,88.8180575579461
